0.000000 0 -nan
0.000000 50 1.000000
0.000000 100 1.000000
0.000000 150 1.000000
0.000000 200 1.000000
0.000000 250 1.000000
0.000000 300 1.000000
0.000000 350 1.000000
0.000000 400 1.000000
0.000000 450 1.000000
0.000000 500 1.000000
0.000000 550 1.000000
0.000000 600 1.000000
0.000000 650 1.000000
0.000000 700 1.000000
0.000000 750 1.000000
0.000000 800 1.000000
0.000000 850 1.000000
0.000000 900 1.000000
0.000000 950 1.000000
0.000000 1000 1.000000

1.000000 0 -nan
1.000000 50 1.000000
1.000000 100 1.000000
1.000000 150 1.000000
1.000000 200 1.000000
1.000000 250 1.000000
1.000000 300 1.000000
1.000000 350 1.000000
1.000000 400 1.000000
1.000000 450 1.000000
1.000000 500 1.000000
1.000000 550 1.000000
1.000000 600 1.000000
1.000000 650 1.000000
1.000000 700 1.000000
1.000000 750 1.000000
1.000000 800 1.000000
1.000000 850 1.000000
1.000000 900 1.000000
1.000000 950 1.000000
1.000000 1000 1.000000

2.000000 0 -nan
2.000000 50 0.999400
2.000000 100 1.000000
2.000000 150 1.000000
2.000000 200 1.000000
2.000000 250 1.000000
2.000000 300 1.000000
2.000000 350 1.000000
2.000000 400 1.000000
2.000000 450 1.000000
2.000000 500 1.000000
2.000000 550 1.000000
2.000000 600 1.000000
2.000000 650 1.000000
2.000000 700 1.000000
2.000000 750 1.000000
2.000000 800 1.000000
2.000000 850 1.000000
2.000000 900 1.000000
2.000000 950 1.000000
2.000000 1000 1.000000

3.000000 0 -nan
3.000000 50 0.867200
3.000000 100 0.997300
3.000000 150 0.999933
3.000000 200 1.000000
3.000000 250 1.000000
3.000000 300 1.000000
3.000000 350 1.000000
3.000000 400 1.000000
3.000000 450 1.000000
3.000000 500 1.000000
3.000000 550 1.000000
3.000000 600 1.000000
3.000000 650 1.000000
3.000000 700 1.000000
3.000000 750 1.000000
3.000000 800 1.000000
3.000000 850 1.000000
3.000000 900 1.000000
3.000000 950 1.000000
3.000000 1000 1.000000

4.000000 0 -nan
4.000000 50 0.346000
4.000000 100 0.916000
4.000000 150 0.996267
4.000000 200 0.999700
4.000000 250 0.999880
4.000000 300 1.000000
4.000000 350 1.000000
4.000000 400 1.000000
4.000000 450 1.000000
4.000000 500 1.000000
4.000000 550 1.000000
4.000000 600 1.000000
4.000000 650 1.000000
4.000000 700 1.000000
4.000000 750 1.000000
4.000000 800 1.000000
4.000000 850 1.000000
4.000000 900 1.000000
4.000000 950 1.000000
4.000000 1000 1.000000

5.000000 0 -nan
5.000000 50 0.112000
5.000000 100 0.490400
5.000000 150 0.906600
5.000000 200 0.989700
5.000000 250 0.998760
5.000000 300 0.999633
5.000000 350 0.999886
5.000000 400 1.000000
5.000000 450 1.000000
5.000000 500 1.000000
5.000000 550 1.000000
5.000000 600 1.000000
5.000000 650 1.000000
5.000000 700 1.000000
5.000000 750 1.000000
5.000000 800 1.000000
5.000000 850 1.000000
5.000000 900 1.000000
5.000000 950 1.000000
5.000000 1000 1.000000

6.000000 0 -nan
6.000000 50 0.057600
6.000000 100 0.165100
6.000000 150 0.506600
6.000000 200 0.861800
6.000000 250 0.977840
6.000000 300 0.995600
6.000000 350 0.996543
6.000000 400 0.999400
6.000000 450 0.999733
6.000000 500 0.999940
6.000000 550 1.000000
6.000000 600 1.000000
6.000000 650 0.999985
6.000000 700 1.000000
6.000000 750 1.000000
6.000000 800 1.000000
6.000000 850 1.000000
6.000000 900 1.000000
6.000000 950 1.000000
6.000000 1000 1.000000

7.000000 0 -nan
7.000000 50 0.029000
7.000000 100 0.050900
7.000000 150 0.138133
7.000000 200 0.376750
7.000000 250 0.740840
7.000000 300 0.950800
7.000000 350 0.979686
7.000000 400 0.994525
7.000000 450 0.997111
7.000000 500 0.999260
7.000000 550 0.999600
7.000000 600 0.999617
7.000000 650 0.999908
7.000000 700 0.999971
7.000000 750 0.999973
7.000000 800 0.999963
7.000000 850 1.000000
7.000000 900 0.999989
7.000000 950 1.000000
7.000000 1000 1.000000

8.000000 0 -nan
8.000000 50 0.021400
